time, ID, MOSI, MISO
4.938117960000000,1689,0xE1|0x00,0x0E|0x0E
4.938174160000000,1690,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.941915120000000,1691,0x07|0x00,0x2E|0x2E
4.941971680000000,1692,0x27|0x2E,0x2E|0x00
4.942046080000000,1693,0x25|0x29,0x0E|0x00
4.942098720000000,1694,0xE1|0x00,0x0E|0x0E
4.942154920000000,1695,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.945893200000000,1696,0x07|0x00,0x2E|0x2E
4.945949760000000,1697,0x27|0x2E,0x2E|0x00
4.946025560000000,1698,0x25|0x14,0x0E|0x00
4.946078200000000,1699,0xE1|0x00,0x0E|0x0E
4.946134400000000,1700,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.950934280000000,1701,0x27|0x2E,0x2E|0x00
4.951008680000000,1702,0x25|0x14,0x0E|0x00
4.951061320000000,1703,0xE1|0x00,0x0E|0x0E
4.951117520000000,1704,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.953943880000000,1705,0x07|0x00,0x2E|0x2E
4.954009920000000,1706,0x27|0x2E,0x2E|0x00
4.954076280000000,1707,0x25|0x1E,0x0E|0x00
4.954128920000000,1708,0xE1|0x00,0x0E|0x0E
4.954185120000000,1709,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.957915440000000,1710,0x07|0x00,0x2E|0x2E
4.957972000000000,1711,0x27|0x2E,0x2E|0x00
4.958046400000000,1712,0x25|0x1E,0x0E|0x00
4.958099000000000,1713,0xE1|0x00,0x0E|0x0E
4.958155240000000,1714,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.961907320000000,1715,0x07|0x00,0x2E|0x2E
4.961963880000000,1716,0x27|0x2E,0x2E|0x00
4.962039720000000,1717,0x25|0x12,0x0E|0x00
4.962092360000000,1718,0xE1|0x00,0x0E|0x0E
4.962148600000000,1719,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.965970400000000,1720,0x07|0x00,0x2E|0x2E
4.966036400000000,1721,0x27|0x2E,0x2E|0x00
4.966101360000000,1722,0x25|0x12,0x0E|0x00
4.966154000000000,1723,0xE1|0x00,0x0E|0x0E
4.966210200000000,1724,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.970873400000000,1725,0x27|0x2E,0x2E|0x00
4.970939760000000,1726,0x25|0x2D,0x0E|0x00
4.970992360000000,1727,0xE1|0x00,0x0E|0x0E
4.971058040000000,1728,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.973898760000000,1729,0x07|0x00,0x2E|0x2E
4.973955320000000,1730,0x27|0x2E,0x2E|0x00
4.974029720000000,1731,0x25|0x2D,0x0E|0x00
4.974082360000000,1732,0xE1|0x00,0x0E|0x0E
4.974138560000000,1733,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.977954920000000,1734,0x07|0x00,0x2E|0x2E
4.978020920000000,1735,0x27|0x2E,0x2E|0x00
4.978087840000000,1736,0x25|0x18,0x0E|0x00
4.978140480000000,1737,0xE1|0x00,0x0E|0x0E
4.978196680000000,1738,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.981936080000000,1739,0x07|0x00,0x2E|0x2E
4.981992640000000,1740,0x27|0x2E,0x2E|0x00
4.982067000000000,1741,0x25|0x18,0x0E|0x00
4.982119640000000,1742,0xE1|0x00,0x0E|0x0E
4.982175840000000,1743,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.985915880000000,1744,0x07|0x00,0x2E|0x2E
4.985972440000000,1745,0x27|0x2E,0x2E|0x00
4.986048240000000,1746,0x25|0x27,0x0E|0x00
4.986100880000000,1747,0xE1|0x00,0x0E|0x0E
4.986157080000000,1748,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.989898800000000,1749,0x07|0x00,0x2E|0x2E
4.989955360000000,1750,0x27|0x2E,0x2E|0x00
4.990029760000000,1751,0x25|0x27,0x0E|0x00
4.990082440000000,1752,0xE1|0x00,0x0E|0x0E
4.990138640000000,1753,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.993982280000000,1754,0x27|0x2E,0x2E|0x00
4.994058120000000,1755,0x25|0x1B,0x0E|0x00
4.994110760000000,1756,0xE1|0x00,0x0E|0x0E
4.994166960000000,1757,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
4.997909080000000,1758,0x07|0x00,0x2E|0x2E
4.997965640000000,1759,0x27|0x2E,0x2E|0x00
4.998040040000000,1760,0x25|0x1B,0x0E|0x00
4.998092680000000,1761,0xE1|0x00,0x0E|0x0E
4.998148880000000,1762,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
5.001962640000000,1763,0x07|0x00,0x2E|0x2E
5.002028640000000,1764,0x27|0x2E,0x2E|0x00
5.002095040000000,1765,0x25|0x39,0x0E|0x00
5.002147680000000,1766,0xE1|0x00,0x0E|0x0E
5.002203880000000,1767,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
5.005945880000000,1768,0x07|0x00,0x2E|0x2E
5.006002400000000,1769,0x27|0x2E,0x2E|0x00
5.006076800000000,1770,0x25|0x39,0x0E|0x00
5.006129440000000,1771,0xE1|0x00,0x0E|0x0E
5.006185640000000,1772,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
5.010883080000000,1773,0x27|0x2E,0x2E|0x00
5.010949440000000,1774,0x25|0x28,0x0E|0x00
5.011002040000000,1775,0xE1|0x00,0x0E|0x0E
5.011067720000000,1776,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00
5.013902240000000,1777,0x07|0x00,0x2E|0x2E
5.013958800000000,1778,0x27|0x2E,0x2E|0x00
5.014033160000000,1779,0x25|0x28,0x0E|0x00
5.014085800000000,1780,0xE1|0x00,0x0E|0x0E
